Name,Playing Date,end date,Location,Duration (s),Spot/day,"Slot taken ",Free/Commercial,Client,Content
Disk Bandung Sespima Polri,"November 17, 2023 → November 25, 2023","November 25, 2023",Lembang,30,60,0.25,Free,,
Disk Tegal Bebas Denda,"October 20, 2023 → December 25, 2023","December 25, 2023",Tegal,30,60,0.25,Free,,
Disk Karawang Pemilu Damai,"November 17, 2023 → November 23, 2023","November 23, 2023",Karawang,30,60,0.25,Free,,
Disk Karawang Mojang Jajaka,"November 17, 2023 → November 19, 2023","November 19, 2023",Karawang,30,60,0.25,Free,,
Disk Bekasi ADMM Bekasi 2,"November 16, 2023 → November 18, 2023","November 18, 2023",Bekasi,15,60,0.25,Free,,
Disk Bandung Sespima Polri,"November 15, 2023 → November 25, 2023","November 25, 2023",Soreang,30,60,0.25,Free,,
Disk Subang Olahraga Tradisional,"November 15, 2023 → November 18, 2023","November 18, 2023",Subang,15,60,0.25,Free,,
Disk Bekasi ADMM Bekas,"November 15, 2023 → November 17, 2023","November 17, 2023",Bekasi,15,60,0.25,Free,,
Disk Pandeglang Harga Bahan Pokok,"November 14, 2023 → November 19, 2023","November 19, 2023",pandeglang,15,60,0.25,Free,,
"Disk Bogor Hari Pahlawan Nasional, Hari Kesehatan Nasional","November 14, 2023 → November 19, 2023","November 19, 2023","Cibinong, Sentul",15,60,0.25,Free,,
"Disk Bogor Perpanjang SIM, Ujian SIM","November 10, 2023 → November 13, 2023","November 13, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Bekasi Bekasi Bersama Palestina,"November 11, 2023 → November 17, 2023","November 17, 2023",Bekasi,15,60,0.25,Free,,
Disk Subang Hari Pahlawan Subang 3,"November 10, 2023 → November 13, 2023","November 13, 2023",Subang,15,60,0.25,Free,,
Disk Pandeglang Solidaritas Palestina,"November 9, 2023 → November 13, 2023","November 13, 2023",pandeglang,30,60,0.25,Free,,
Disk Subang Kirab Pemilu Subang,"November 7, 2023 → November 19, 2023","November 19, 2023",Subang,30,60,0.25,Free,,
Disk Pandeglang Kompetisi Inovasi,"November 7, 2023 → November 13, 2023","November 13, 2023",pandeglang,30,60,0.25,Free,,
"Disk Bogor Kurangi Sampah Plastik, Prosedur Selamat Gempa, Pengobatan Monkeypox,
Mitigasi bencana","November 7, 2023 → November 13, 2023","November 13, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Uji Bakar,"October 31, 2023 → November 6, 2023","November 6, 2023",pandeglang,30,60,0.25,Free,,
Disk Bogor Protein Tubuh,"October 30, 2023 → November 5, 2023","November 5, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Selamat Datang PMII,"October 31, 2023 → November 1, 2023","November 1, 2023",pandeglang,15,60,0.25,Free,,
Disk Bogor Sumpah Pemuda,"October 30, 2023 → November 1, 2023","November 1, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Garut Indonesia Maju,"October 27, 2023 → November 2, 2023","November 2, 2023",Garut,15,60,0.25,Free,,
Disk Tegal Tolak Politik Uang,"October 26, 2023 → November 2, 2023","November 2, 2023",Tegal,30,60,0.25,Free,,
Disk Bogor Gebyar Nusantara,"October 27, 2023 → October 30, 2023","October 30, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Disk Pandeglang Bantuan Pesantren,"October 24, 2023 → October 30, 2023","October 30, 2023",pandeglang,30,60,0.25,Free,,
Disk Garut MPP Garut,"October 24, 2023 → October 30, 2023","October 30, 2023",Garut,15,60,0.25,Free,,
Disk Tegal Pasar Tani,"October 24, 2023 → October 27, 2023","October 27, 2023",Tegal,15,60,0.25,Free,,
Disk Tegal Cinta Rupiah I,"October 21, 2023 → October 27, 2023","October 27, 2023",Tegal,30,60,0.25,Free,,
Disk Bandung Piala Dunia U-17,"October 20, 2023 → November 18, 2023","November 18, 2023",Serang,30,60,0.25,Free,,
Disk Subang Pemutihan Pajak,"October 18, 2023 → December 16, 2023","December 16, 2023",Subang,30,60,0.25,Free,,
"Disk Bogor Efek Cuaca Panas, Tips Cegah Heat Stroke","October 18, 2023 → October 24, 2023","October 24, 2023","Cibinong, Sentul",15,60,0.25,Free,,
Kominfo,"November 20, 2023 → December 20, 2023","December 20, 2023",Sentul,15,240,0.5,Commercial,SMF / Antara,Indonesia Back to the map
RRI-Bintang Radio,"November 8, 2023 → November 21, 2023","November 21, 2023",Bekasi,30,240,1,Commercial,PT Garuda Trimatra Komunikasi,RRI Promo
